assetName,orientation,northWall,eastWall,southWall,westWall
road0,0,true,true,false,true
road0,1,true,true,true,false
road0,2,false,true,true,true
road0,3,true,false,true,true
road1,0,true,false,true,false
road1,1,false,true,false,true
road1,2,true,false,true,false
road1,3,false,true,false,true
road2,0,true,true,false,false
road2,1,false,true,true,false
road2,2,false,false,true,true
road2,3,true,false,false,true
road3,0,true,false,false,false
road3,1,false,true,false,false
road3,2,false,false,true,false
road3,3,false,false,false,true
road4,0,false,false,false,false
road4,1,false,false,false,false
road4,2,false,false,false,false
road4,3,false,false,false,false
chamber0,0,true,true,false,true
chamber0,1,true,true,true,false
chamber0,2,false,true,true,true
chamber0,3,true,false,true,true
chamber1,0,false,true,false,true
chamber1,1,true,false,true,false
chamber1,2,false,true,false,true
chamber1,3,true,false,true,false
chamber2,0,true,true,false,false
chamber2,1,false,true,true,false
chamber2,2,false,false,true,true
chamber2,3,true,false,false,true
chamber3,0,true,false,false,false
chamber3,1,false,true,false,false
chamber3,2,false,false,true,false
chamber3,3,false,false,false,true
chamber4,0,false,false,false,false
chamber4,1,false,false,false,false
chamber4,2,false,false,false,false
chamber4,3,false,false,false,false
fountain4,0,false,false,false,false
fountain4,1,false,false,false,false
fountain4,2,false,false,false,false
fountain4,3,false,false,false,false
